#    x_shift     y_shift   expansion         E_unrelaxed           E_relaxed
      0.1875      0.0625         1.5       -465.27407973        -472.8913667
      0.1875      0.0625         2.0       -461.04511158       -468.65243271
      0.1875       0.125        -1.0       -378.91793913       -461.15957862
      0.1875       0.125        -0.5       -426.61894536       -469.96403843
      0.1875       0.125         0.0       -451.71896728       -474.66489899
      0.1875       0.125         0.5       -461.37968235       -477.02456783
      0.1875       0.125         1.0       -463.00794126       -475.73216429
      0.1875       0.125         1.5       -461.26388684       -472.84062396
      0.1875       0.125         2.0       -458.25650153       -469.75318438
      0.1875      0.1875        -1.0       -360.60535502        -460.6935023
      0.1875      0.1875        -0.5       -405.36497113       -468.17858078
      0.1875      0.1875         0.0       -433.09084304       -473.21416402
      0.1875      0.1875         0.5       -448.37089358       -475.56910641
      0.1875      0.1875         1.0       -454.77699654       -474.70131063
      0.1875      0.1875         1.5         -455.718417       -471.46600709
      0.1875      0.1875         2.0       -454.51641727       -469.46610668
      0.1875        0.25        -1.0       -380.17607011       -465.25986959
      0.1875        0.25        -0.5       -413.66019984       -472.11620353
      0.1875        0.25         0.0         -435.947738       -475.42106417
      0.1875        0.25         0.5       -449.25758504       -476.01512119
      0.1875        0.25         1.0       -454.95328608       -474.42249824
      0.1875        0.25         1.5       -455.63715851       -470.89710467
      0.1875        0.25         2.0       -454.26855363       -466.96851281
      0.1875      0.3125        -1.0       -416.07440466       -467.07597483
      0.1875      0.3125        -0.5       -443.55872588       -474.31750307
      0.1875      0.3125         0.0       -457.09100071       -477.43822844
      0.1875      0.3125         0.5       -462.04813435       -477.35797855
      0.1875      0.3125         1.0       -462.30224212       -474.89223043
      0.1875      0.3125         1.5       -460.32918199       -470.89460185
      0.1875      0.3125         2.0       -457.21931977        -466.8986803
      0.1875       0.375        -1.0       -415.14392356       -466.32380399
      0.1875       0.375        -0.5       -449.49177359       -473.55966486
      0.1875       0.375         0.0       -464.87487707       -477.14171638
      0.1875       0.375         0.5         -468.971835       -477.58811098
      0.1875       0.375         1.0       -467.92480021       -475.45649158
      0.1875       0.375         1.5       -464.97148022       -471.84039689
      0.1875       0.375         2.0       -460.75038046       -468.68159978
      0.1875      0.4375        -1.0       -387.75617771       -462.41373394
      0.1875      0.4375        -0.5       -433.75966418       -471.16244861
      0.1875      0.4375         0.0       -457.06575158       -475.33021721
      0.1875      0.4375         0.5       -465.13394742       -477.10931992
      0.1875      0.4375         1.0       -465.63453533       -475.74635366
      0.1875      0.4375         1.5       -463.24516495       -473.03748724
      0.1875      0.4375         2.0       -459.64279399       -468.92347229
      0.1875         0.5        -1.0       -364.95086665       -460.58612902
      0.1875         0.5        -0.5       -411.48245014       -468.56156182
      0.1875         0.5         0.0       -438.66761198       -474.06969333
      0.1875         0.5         0.5       -452.17584639       -476.07425754
      0.1875         0.5         1.0       -457.04119833       -475.00211118
      0.1875         0.5         1.5       -457.15201946       -471.93284318
      0.1875         0.5         2.0        -455.4670572       -469.70330366
      0.1875      0.5625        -1.0       -367.54384407       -464.02101327
      0.1875      0.5625        -0.5        -405.7460787       -471.03511996
      0.1875      0.5625         0.0        -431.2502746       -474.52809031
      0.1875      0.5625         0.5       -446.71162247       -475.28152347
      0.1875      0.5625         1.0        -453.6924805       -474.64701563
      0.1875      0.5625         1.5        -454.9744671       -471.37582999
      0.1875      0.5625         2.0       -453.93815733       -468.92224539
      0.1875       0.625        -1.0       -406.97611312       -466.86354137
      0.1875       0.625        -0.5       -434.87072064       -473.68750879
      0.1875       0.625         0.0       -450.50407697       -476.93426198
      0.1875       0.625         0.5       -457.80849724       -476.87629795
      0.1875       0.625         1.0        -459.6426624       -474.48688564
      0.1875       0.625         1.5       -458.46928337       -471.11515816
      0.1875       0.625         2.0       -455.96400731       -466.34226702
      0.1875      0.6875        -1.0       -420.02112076       -467.02536043
      0.1875      0.6875        -0.5        -450.8829745       -474.59982515
      0.1875      0.6875         0.0       -464.35068728        -477.8566822
      0.1875      0.6875         0.5       -467.79560918       -477.69947186
      0.1875      0.6875         1.0        -466.6960551       -475.23660333
